Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2017,782.3591962,"Census Tract 4340.01, Los Angeles County, California",434001,El Monte,1400000US06037434001,"(34.051401, -118.014185)",Drinking_Water_Contaminants_2017_1400000US06037434001,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,728.0386273,"Census Tract 4340.03, Los Angeles County, California",434003,El Monte,1400000US06037434003,"(34.0462105, -118.022669)",Drinking_Water_Contaminants_2017_1400000US06037434003,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,779.9313249,"Census Tract 4340.04, Los Angeles County, California",434004,South El Monte,1400000US06037434004,"(34.040226, -118.0317375)",Drinking_Water_Contaminants_2017_1400000US06037434004,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,766.795582,"Census Tract 4600, Los Angeles County, California",460000,Pasadena,1400000US06037460000,"(34.1774565, -118.0830185)",Drinking_Water_Contaminants_2017_1400000US06037460000,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,775.2869098,"Census Tract 4601, Los Angeles County, California",460100,Altadena,1400000US06037460100,"(34.1912975, -118.1110615)",Drinking_Water_Contaminants_2017_1400000US06037460100,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,701.7195079,"Census Tract 4602, Los Angeles County, California",460200,Altadena,1400000US06037460200,"(34.2009205, -118.136652)",Drinking_Water_Contaminants_2017_1400000US06037460200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,658.9952912,"Census Tract 4603.01, Los Angeles County, California",460301,Altadena,1400000US06037460301,"(34.2073225, -118.1562895)",Drinking_Water_Contaminants_2017_1400000US06037460301,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,576.74623,"Census Tract 4603.02, Los Angeles County, California",460302,Altadena,1400000US06037460302,"(34.1949925, -118.157667)",Drinking_Water_Contaminants_2017_1400000US06037460302,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,630.5651301,"Census Tract 4604.01, Los Angeles County, California",460401,Pasadena,1400000US06037460401,"(34.217813, -118.1788775)",Drinking_Water_Contaminants_2017_1400000US06037460401,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,734.9677561,"Census Tract 4605.01, Los Angeles County, California",460501,La Canada Flintridge,1400000US06037460501,"(34.2156925, -118.1897915)",Drinking_Water_Contaminants_2017_1400000US06037460501,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,485.2079027,"Census Tract 4605.02, Los Angeles County, California",460502,La Canada Flintridge,1400000US06037460502,"(34.2051075, -118.1950465)",Drinking_Water_Contaminants_2017_1400000US06037460502,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,495.0850762,"Census Tract 4606, Los Angeles County, California",460600,La Canada Flintridge,1400000US06037460600,"(34.2261145, -118.2193885)",Drinking_Water_Contaminants_2017_1400000US06037460600,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,857.9728234,"Census Tract 4607, Los Angeles County, California",460700,La Canada Flintridge,1400000US06037460700,"(34.1946605, -118.196153)",Drinking_Water_Contaminants_2017_1400000US06037460700,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,800.206908,"Census Tract 4608, Los Angeles County, California",460800,Pasadena,1400000US06037460800,"(34.163146, -118.1778035)",Drinking_Water_Contaminants_2017_1400000US06037460800,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4609, Los Angeles County, California",460900,Pasadena,1400000US06037460900,"(34.176907, -118.162811)",Drinking_Water_Contaminants_2017_1400000US06037460900,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,628.0306309,"Census Tract 4610, Los Angeles County, California",461000,Altadena,1400000US06037461000,"(34.187722, -118.1609895)",Drinking_Water_Contaminants_2017_1400000US06037461000,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,681.1594775,"Census Tract 4611, Los Angeles County, California",461100,Altadena,1400000US06037461100,"(34.1845865, -118.141115)",Drinking_Water_Contaminants_2017_1400000US06037461100,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,704.1867418,"Census Tract 4612, Los Angeles County, California",461200,Altadena,1400000US06037461200,"(34.1801065, -118.113418)",Drinking_Water_Contaminants_2017_1400000US06037461200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,707.1427266,"Census Tract 4613, Los Angeles County, California",461300,Altadena,1400000US06037461300,"(34.1738235, -118.113483)",Drinking_Water_Contaminants_2017_1400000US06037461300,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,624.9932596,"Census Tract 4614, Los Angeles County, California",461400,Pasadena,1400000US06037461400,"(34.1727525, -118.124329)",Drinking_Water_Contaminants_2017_1400000US06037461400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,685.5686285,"Census Tract 4615.01, Los Angeles County, California",461501,Pasadena,1400000US06037461501,"(34.1751325, -118.136805)",Drinking_Water_Contaminants_2017_1400000US06037461501,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4615.02, Los Angeles County, California",461502,Pasadena,1400000US06037461502,"(34.175203, -118.146197)",Drinking_Water_Contaminants_2017_1400000US06037461502,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4616, Los Angeles County, California",461600,Pasadena,1400000US06037461600,"(34.161608, -118.1571605)",Drinking_Water_Contaminants_2017_1400000US06037461600,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4617, Los Angeles County, California",461700,Pasadena,1400000US06037461700,"(34.160159, -118.162866)",Drinking_Water_Contaminants_2017_1400000US06037461700,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4619.01, Los Angeles County, California",461901,Pasadena,1400000US06037461901,"(34.1537915, -118.149329)",Drinking_Water_Contaminants_2017_1400000US06037461901,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4619.02, Los Angeles County, California",461902,Pasadena,1400000US06037461902,"(34.148899, -118.148574)",Drinking_Water_Contaminants_2017_1400000US06037461902,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4620.01, Los Angeles County, California",462001,Pasadena,1400000US06037462001,"(34.163362, -118.143829)",Drinking_Water_Contaminants_2017_1400000US06037462001,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4620.02, Los Angeles County, California",462002,Pasadena,1400000US06037462002,"(34.163333, -118.148361)",Drinking_Water_Contaminants_2017_1400000US06037462002,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4621, Los Angeles County, California",462100,Pasadena,1400000US06037462100,"(34.163369, -118.1369255)",Drinking_Water_Contaminants_2017_1400000US06037462100,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4622.01, Los Angeles County, California",462201,Pasadena,1400000US06037462201,"(34.1548915, -118.136967)",Drinking_Water_Contaminants_2017_1400000US06037462201,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4622.02, Los Angeles County, California",462202,Pasadena,1400000US06037462202,"(34.148926, -118.1369075)",Drinking_Water_Contaminants_2017_1400000US06037462202,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,589.043778,"Census Tract 4623.01, Los Angeles County, California",462301,Pasadena,1400000US06037462301,"(34.15491, -118.126929)",Drinking_Water_Contaminants_2017_1400000US06037462301,1/1/17
