Timestamp,Conductivity,NO3,Q,Temp,Turbidity,Level,Dayofweek,Month
2016-12-05T18:00:00,486.0,,,29.05,5.7,0.474,0,12
2016-12-05T19:00:00,,,,,,0.473,0,12
2016-12-05T20:00:00,485.0,,,28.36,7.7,0.474,0,12
2016-12-05T21:00:00,485.0,,,28.08,2.7,0.475,0,12
2016-12-05T22:00:00,,,,,,0.474,0,12
2016-12-05T23:00:00,484.0,,,27.85,2.0,0.474,0,12
2016-12-06T00:00:00,485.0,,,27.64,3.9,0.475,1,12
2016-12-06T01:00:00,,,,,,0.476,1,12
2016-12-06T02:00:00,486.0,,,27.44,1.4,0.477,1,12
2016-12-06T03:00:00,485.0,,,27.24,3.2,0.478,1,12
2016-12-06T04:00:00,,,,,,0.478,1,12
2016-12-06T05:00:00,485.0,,,27.07,6.1,0.477,1,12
2016-12-06T06:00:00,485.0,,,27.0,4.6,0.476,1,12
2016-12-06T07:00:00,,,,,,0.477,1,12
2016-12-06T08:00:00,485.0,,,27.18,2.6,0.477,1,12
2016-12-06T09:00:00,485.0,,,27.35,1.0,0.477,1,12
2016-12-06T10:00:00,,,,,,0.477,1,12
2016-12-06T11:00:00,485.0,,,27.66,0.6,0.475,1,12
2016-12-06T12:00:00,485.0,,,28.04,110.3,0.477,1,12
2016-12-06T13:00:00,,,,,,0.472,1,12
2016-12-06T14:00:00,484.0,,,28.59,0.3,0.475,1,12
2016-12-06T15:00:00,486.0,,,29.02,0.2,0.473,1,12
2016-12-06T16:00:00,,,,,,0.472,1,12
2016-12-06T17:00:00,485.0,,,28.97,0.6,0.471,1,12
2016-12-06T18:00:00,485.0,,,28.67,1.5,0.472,1,12
2016-12-06T19:00:00,,,,,,0.472,1,12
2016-12-06T20:00:00,485.0,,,28.35,0.3,0.471,1,12
2016-12-06T21:00:00,485.0,,,28.07,0.6,0.47,1,12
2016-12-06T22:00:00,,,,,,0.469,1,12
2016-12-06T23:00:00,485.0,,,27.81,0.1,0.469,1,12
2016-12-07T00:00:00,486.0,,,27.57,1.1,0.47,2,12
2016-12-07T01:00:00,,,,,,0.47,2,12
2016-12-07T02:00:00,486.0,,,27.37,0.5,0.471,2,12
2016-12-07T03:00:00,485.0,,,27.18,4.0,0.47,2,12
2016-12-07T04:00:00,,,,,,0.468,2,12
2016-12-07T05:00:00,485.0,,,26.97,0.4,0.468,2,12
2016-12-07T06:00:00,485.0,,,26.92,4.8,0.47,2,12
2016-12-07T07:00:00,,,,,,0.467,2,12
2016-12-07T08:00:00,486.0,,,27.1,7.6,0.466,2,12
2016-12-07T09:00:00,486.0,,,27.36,0.0,0.467,2,12
2016-12-07T10:00:00,,,,,,0.463,2,12
2016-12-07T11:00:00,486.0,,,27.61,0.0,0.467,2,12
2016-12-07T12:00:00,486.0,,,27.96,0.0,0.466,2,12
2016-12-07T13:00:00,,,,,,0.465,2,12
2016-12-07T14:00:00,487.0,,,28.62,0.0,0.466,2,12
2016-12-07T15:00:00,488.0,,,28.76,0.0,0.464,2,12
2016-12-07T16:00:00,,,,,,0.464,2,12
2016-12-07T17:00:00,488.0,,,29.03,0.0,0.464,2,12
2016-12-07T18:00:00,488.0,,,28.65,0.0,0.464,2,12
2016-12-07T19:00:00,,,,,,0.464,2,12
2016-12-07T20:00:00,487.0,,,28.41,0.0,0.464,2,12
2016-12-07T21:00:00,487.0,,,28.17,0.5,0.466,2,12
2016-12-07T22:00:00,,,,,,0.465,2,12
2016-12-07T23:00:00,487.0,,,27.97,0.3,0.464,2,12
2016-12-08T00:00:00,487.0,,,27.77,0.0,0.466,3,12
2016-12-08T01:00:00,,,,,,0.464,3,12
2016-12-08T02:00:00,487.0,,,27.59,0.2,0.464,3,12
2016-12-08T03:00:00,484.0,,,27.41,0.5,0.467,3,12
2016-12-08T04:00:00,,,,,,0.465,3,12
2016-12-08T05:00:00,488.0,,,27.27,0.2,0.464,3,12
2016-12-08T06:00:00,488.0,,,27.23,1.1,0.464,3,12
2016-12-08T07:00:00,,,,,,0.466,3,12
2016-12-08T08:00:00,488.0,,,27.4,1.0,0.466,3,12
2016-12-08T09:00:00,488.0,,,27.53,0.0,0.466,3,12
2016-12-08T10:00:00,,,,,,0.466,3,12
2016-12-08T11:00:00,488.0,,,27.67,0.0,0.465,3,12
2016-12-08T12:00:00,488.0,,,27.95,0.0,0.469,3,12
2016-12-08T13:00:00,,,,,,0.466,3,12
2016-12-08T14:00:00,488.0,,,28.38,0.0,0.465,3,12
2016-12-08T15:00:00,489.0,,,28.82,0.0,0.467,3,12
2016-12-08T16:00:00,,,,,,0.467,3,12
2016-12-08T17:00:00,489.0,,,28.91,0.0,0.468,3,12
2016-12-08T18:00:00,489.0,,,28.65,0.0,0.468,3,12
